"","Status.of.existing.checking.account","Duration.in.months","Credit.history","Purpose","Credit.amount","Savings.account.bonds","Present.employment.since","Installment.rate.in.percentage.of.disposable.income","Personal.status.and.sex","Other.debtors...guarantors","Present.residence.since","Property","Age.in.years","Other.installment.plans","Housing","Number.of.existing.credits.at.this.bank","Job","Number.of.people.being.liable.to.provide.maintenance.for","Telephone","Foreign.worker","Score"
"497","0 - 200",36,"existing credits paid back duly till now","furniture/equipment",9034,"100 to 500","less than 1 year",4,"male (single)","co-Applicant",1,"unknown / no property",29,"none","rent",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
"498","No checking account",24,"critical account/ other credits existing (not at this bank)","furniture/equipment",1585,"less than 100","4 to 7 years",4,"male (single)","none",3,"building society savings agreement/ life insurance",40,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"499","0 - 200",18,"existing credits paid back duly till now","radio/television",1301,"less than 100","more than 7 years",4,"male (married/widowed)","guarantor",2,"real estate",32,"none","own",1,"unskilled - resident",1,"none","Yes","good"
"500","Over 200",6,"critical account/ other credits existing (not at this bank)","car (new)",1323,"100 to 500","more than 7 years",2,"male (divorced/separated)","none",4,"car or other",28,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name","Yes","good"
"501","Negative",24,"existing credits paid back duly till now","car (new)",3123,"less than 100","less than 1 year",4,"female (divorced/separated/married)","none",1,"building society savings agreement/ life insurance",27,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
"502","Negative",36,"existing credits paid back duly till now","car (used)",5493,"less than 100","more than 7 years",2,"male (single)","none",4,"unknown / no property",42,"none","for free",1,"skilled employee / official",2,"none","Yes","good"
"503","Over 200",9,"existing credits paid back duly till now","radio/television",1126,"100 to 500","more than 7 years",2,"male (divorced/separated)","none",4,"real estate",49,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"504","0 - 200",24,"critical account/ other credits existing (not at this bank)","radio/television",1216,"100 to 500","less than 1 year",4,"male (single)","none",4,"unknown / no property",38,"bank","own",2,"skilled employee / official",2,"none","Yes","bad"
"505","Negative",24,"existing credits paid back duly till now","car (new)",1207,"less than 100","less than 1 year",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",24,"none","rent",1,"skilled employee / official",1,"none","Yes","bad"
"506","No checking account",10,"existing credits paid back duly till now","car (new)",1309,"unknown / no savings account","1 to 4 years",4,"male (single)","guarantor",4,"building society savings agreement/ life insurance",27,"none","own",1,"unskilled - resident",1,"none","Yes","bad"
"507","Over 200",15,"critical account/ other credits existing (not at this bank)","car (used)",2360,"500 to 1000","1 to 4 years",2,"male (single)","none",2,"car or other",36,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"508","0 - 200",15,"all credits at this bank paid back duly","car (new)",6850,"100 to 500","Unemployed",1,"male (single)","none",2,"building society savings agreement/ life insurance",34,"none","own",1,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","bad"
"509","No checking account",24,"existing credits paid back duly till now","radio/television",1413,"less than 100","1 to 4 years",4,"male (married/widowed)","none",2,"building society savings agreement/ life insurance",28,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"510","No checking account",39,"existing credits paid back duly till now","car (used)",8588,"100 to 500","more than 7 years",4,"male (single)","none",2,"car or other",45,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"511","Negative",12,"existing credits paid back duly till now","car (new)",759,"less than 100","4 to 7 years",4,"male (single)","none",2,"real estate",26,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
"512","No checking account",36,"existing credits paid back duly till now","car (used)",4686,"less than 100","1 to 4 years",2,"male (single)","none",2,"unknown / no property",32,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"513","Over 200",15,"existing credits paid back duly till now","business",2687,"less than 100","4 to 7 years",2,"male (single)","none",4,"building society savings agreement/ life insurance",26,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"514","0 - 200",12,"delay in paying off in the past","radio/television",585,"less than 100","1 to 4 years",4,"male (married/widowed)","co-Applicant",4,"real estate",20,"none","rent",2,"skilled employee / official",1,"none","Yes","good"
"515","No checking account",24,"existing credits paid back duly till now","car (new)",2255,"unknown / no savings account","less than 1 year",4,"male (single)","none",1,"building society savings agreement/ life insurance",54,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"516","Negative",6,"critical account/ other credits existing (not at this bank)","car (new)",609,"less than 100","4 to 7 years",4,"female (divorced/separated/married)","none",3,"building society savings agreement/ life insurance",37,"none","own",2,"skilled employee / official",1,"none","No","good"
"517","Negative",6,"critical account/ other credits existing (not at this bank)","car (new)",1361,"less than 100","less than 1 year",2,"male (single)","none",4,"real estate",40,"none","own",1,"unskilled - resident",2,"none","No","good"
"518","No checking account",36,"critical account/ other credits existing (not at this bank)","furniture/equipment",7127,"less than 100","less than 1 year",2,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",23,"none","rent",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"519","Negative",6,"existing credits paid back duly till now","car (new)",1203,"100 to 500","more than 7 years",3,"male (single)","none",2,"building society savings agreement/ life insurance",43,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"520","No checking account",6,"critical account/ other credits existing (not at this bank)","radio/television",700,"unknown / no savings account","more than 7 years",4,"male (single)","none",4,"unknown / no property",36,"none","for free",2,"skilled employee / official",1,"none","Yes","good"
"521","No checking account",24,"critical account/ other credits existing (not at this bank)","repairs",5507,"less than 100","more than 7 years",3,"male (single)","none",4,"unknown / no property",44,"none","for free",2,"skilled employee / official",1,"none","Yes","good"
"522","Negative",18,"existing credits paid back duly till now","radio/television",3190,"less than 100","1 to 4 years",2,"female (divorced/separated/married)","none",2,"real estate",24,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
"523","Negative",48,"no credits taken / all credits paid back duly","furniture/equipment",7119,"less than 100","1 to 4 years",3,"male (single)","none",4,"unknown / no property",53,"none","for free",2,"skilled employee / official",2,"none","Yes","bad"
"524","No checking account",24,"existing credits paid back duly till now","car (used)",3488,"100 to 500","4 to 7 years",3,"female (divorced/separated/married)","none",4,"car or other",23,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"525","0 - 200",18,"existing credits paid back duly till now","radio/television",1113,"less than 100","1 to 4 years",4,"female (divorced/separated/married)","guarantor",4,"real estate",26,"none","own",1,"unskilled - resident",2,"none","Yes","good"
"526","0 - 200",26,"existing credits paid back duly till now","car (used)",7966,"less than 100","less than 1 year",2,"male (single)","none",3,"car or other",30,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"527","No checking account",15,"critical account/ other credits existing (not at this bank)","education",1532,"100 to 500","1 to 4 years",4,"female (divorced/separated/married)","none",3,"car or other",31,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"528","No checking account",4,"critical account/ other credits existing (not at this bank)","radio/television",1503,"less than 100","4 to 7 years",2,"male (single)","none",1,"real estate",42,"none","own",2,"unskilled - resident",2,"none","Yes","good"
"529","Negative",36,"existing credits paid back duly till now","radio/television",2302,"less than 100","1 to 4 years",4,"male (divorced/separated)","none",4,"car or other",31,"none","rent",1,"skilled employee / official",1,"none","Yes","bad"
"530","Negative",6,"existing credits paid back duly till now","car (new)",662,"less than 100","less than 1 year",3,"male (single)","none",4,"real estate",41,"none","own",1,"unskilled - resident",2,"yes, registered under the customers name","Yes","good"
"531","0 - 200",36,"existing credits paid back duly till now","education",2273,"less than 100","4 to 7 years",3,"male (single)","none",1,"car or other",32,"none","own",2,"skilled employee / official",2,"none","Yes","good"
"532","0 - 200",15,"existing credits paid back duly till now","car (new)",2631,"100 to 500","1 to 4 years",2,"female (divorced/separated/married)","none",4,"car or other",28,"none","rent",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"533","No checking account",12,"delay in paying off in the past","car (used)",1503,"less than 100","1 to 4 years",4,"male (married/widowed)","none",4,"real estate",41,"none","rent",1,"skilled employee / official",1,"none","Yes","good"
"534","No checking account",24,"existing credits paid back duly till now","radio/television",1311,"100 to 500","4 to 7 years",4,"male (married/widowed)","none",3,"building society savings agreement/ life insurance",26,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"535","No checking account",24,"existing credits paid back duly till now","radio/television",3105,"unknown / no savings account","less than 1 year",4,"male (single)","none",2,"car or other",25,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"536","Over 200",21,"critical account/ other credits existing (not at this bank)","education",2319,"less than 100","less than 1 year",2,"male (divorced/separated)","none",1,"car or other",33,"none","rent",1,"skilled employee / official",1,"none","Yes","bad"
"537","Negative",6,"existing credits paid back duly till now","car (new)",1374,"unknown / no savings account","Unemployed",4,"female (divorced/separated/married)","none",3,"building society savings agreement/ life insurance",75,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"538","0 - 200",18,"critical account/ other credits existing (not at this bank)","furniture/equipment",3612,"less than 100","more than 7 years",3,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",37,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"539","Negative",48,"existing credits paid back duly till now","car (new)",7763,"less than 100","more than 7 years",4,"male (single)","none",4,"unknown / no property",42,"bank","for free",1,"management / self-employed / highly qualified employee / officer",1,"none","Yes","bad"
"540","Over 200",18,"existing credits paid back duly till now","furniture/equipment",3049,"less than 100","less than 1 year",1,"female (divorced/separated/married)","none",1,"building society savings agreement/ life insurance",45,"stores","own",1,"unskilled - resident",1,"none","Yes","good"
"541","0 - 200",12,"existing credits paid back duly till now","radio/television",1534,"less than 100","less than 1 year",1,"male (married/widowed)","none",1,"real estate",23,"none","rent",1,"skilled employee / official",1,"none","Yes","bad"
"542","No checking account",24,"delay in paying off in the past","car (new)",2032,"less than 100","more than 7 years",4,"male (single)","none",4,"unknown / no property",60,"none","for free",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"543","Negative",30,"existing credits paid back duly till now","furniture/equipment",6350,"unknown / no savings account","more than 7 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",31,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
"544","Over 200",18,"existing credits paid back duly till now","furniture/equipment",2864,"less than 100","1 to 4 years",2,"male (single)","none",1,"real estate",34,"none","own",1,"unskilled - resident",2,"none","Yes","bad"
"545","No checking account",12,"critical account/ other credits existing (not at this bank)","car (new)",1255,"less than 100","more than 7 years",4,"male (single)","none",4,"real estate",61,"none","own",2,"unskilled - resident",1,"none","Yes","good"
"546","Negative",24,"delay in paying off in the past","car (new)",1333,"less than 100","Unemployed",4,"male (single)","none",2,"real estate",43,"none","for free",2,"skilled employee / official",2,"none","Yes","bad"
"547","No checking account",24,"critical account/ other credits existing (not at this bank)","car (new)",2022,"less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",4,"car or other",37,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"548","No checking account",24,"existing credits paid back duly till now","radio/television",1552,"less than 100","4 to 7 years",3,"male (single)","none",1,"car or other",32,"bank","own",1,"skilled employee / official",2,"none","Yes","good"
"549","Negative",12,"all credits at this bank paid back duly","radio/television",626,"less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",4,"real estate",24,"bank","own",1,"unskilled - resident",1,"none","Yes","bad"
"550","No checking account",48,"critical account/ other credits existing (not at this bank)","car (used)",8858,"unknown / no savings account","4 to 7 years",2,"male (single)","none",1,"unknown / no property",35,"none","for free",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"551","No checking account",12,"critical account/ other credits existing (not at this bank)","repairs",996,"unknown / no savings account","4 to 7 years",4,"female (divorced/separated/married)","none",4,"real estate",23,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"552","No checking account",6,"all credits at this bank paid back duly","radio/television",1750,"500 to 1000","more than 7 years",2,"male (single)","none",4,"building society savings agreement/ life insurance",45,"bank","own",1,"unskilled - resident",2,"none","Yes","good"
"553","Negative",48,"existing credits paid back duly till now","radio/television",6999,"less than 100","4 to 7 years",1,"male (married/widowed)","guarantor",1,"real estate",34,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"554","0 - 200",12,"critical account/ other credits existing (not at this bank)","car (new)",1995,"100 to 500","less than 1 year",4,"male (single)","none",1,"car or other",27,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"555","0 - 200",9,"existing credits paid back duly till now","education",1199,"less than 100","4 to 7 years",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",67,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"556","0 - 200",12,"existing credits paid back duly till now","radio/television",1331,"less than 100","less than 1 year",2,"male (single)","none",1,"car or other",22,"stores","own",1,"skilled employee / official",1,"none","Yes","bad"
"557","0 - 200",18,"no credits taken / all credits paid back duly","car (new)",2278,"100 to 500","less than 1 year",3,"female (divorced/separated/married)","none",3,"car or other",28,"none","own",2,"skilled employee / official",1,"none","Yes","bad"
"558","No checking account",21,"no credits taken / all credits paid back duly","car (new)",5003,"unknown / no savings account","1 to 4 years",1,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",29,"bank","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"559","Negative",24,"all credits at this bank paid back duly","furniture/equipment",3552,"less than 100","4 to 7 years",3,"male (single)","none",4,"car or other",27,"bank","own",1,"skilled employee / official",1,"none","Yes","bad"
"560","0 - 200",18,"critical account/ other credits existing (not at this bank)","furniture/equipment",1928,"less than 100","less than 1 year",2,"male (single)","none",2,"real estate",31,"none","own",2,"unskilled - resident",1,"none","Yes","bad"
"561","Negative",24,"existing credits paid back duly till now","car (used)",2964,"unknown / no savings account","more than 7 years",4,"male (single)","none",4,"unknown / no property",49,"bank","for free",1,"skilled employee / official",2,"yes, registered under the customers name","Yes","good"
"562","Negative",24,"all credits at this bank paid back duly","radio/television",1546,"less than 100","4 to 7 years",4,"male (single)","guarantor",4,"car or other",24,"bank","rent",1,"unskilled - resident",1,"none","Yes","bad"
"563","Over 200",6,"delay in paying off in the past","radio/television",683,"less than 100","less than 1 year",2,"female (divorced/separated/married)","none",1,"building society savings agreement/ life insurance",29,"bank","own",1,"skilled employee / official",1,"none","Yes","good"
"564","0 - 200",36,"existing credits paid back duly till now","car (new)",12389,"unknown / no savings account","1 to 4 years",1,"male (single)","none",4,"unknown / no property",37,"none","for free",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"565","0 - 200",24,"delay in paying off in the past","business",4712,"unknown / no savings account","1 to 4 years",4,"male (single)","none",2,"building society savings agreement/ life insurance",37,"bank","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"566","0 - 200",24,"delay in paying off in the past","radio/television",1553,"100 to 500","4 to 7 years",3,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",23,"none","rent",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"567","Negative",12,"existing credits paid back duly till now","car (new)",1372,"less than 100","4 to 7 years",2,"male (divorced/separated)","none",3,"car or other",36,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
"568","No checking account",24,"critical account/ other credits existing (not at this bank)","radio/television",2578,"more than 1000","more than 7 years",2,"male (single)","none",2,"car or other",34,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"569","0 - 200",48,"existing credits paid back duly till now","radio/television",3979,"unknown / no savings account","4 to 7 years",4,"male (single)","none",1,"car or other",41,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name","Yes","good"
"570","Negative",48,"existing credits paid back duly till now","radio/television",6758,"less than 100","1 to 4 years",3,"female (divorced/separated/married)","none",2,"car or other",31,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"571","Negative",24,"existing credits paid back duly till now","furniture/equipment",3234,"less than 100","less than 1 year",4,"female (divorced/separated/married)","none",4,"real estate",23,"none","rent",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","bad"
"572","No checking account",30,"critical account/ other credits existing (not at this bank)","radio/television",5954,"less than 100","4 to 7 years",3,"male (single)","co-Applicant",2,"car or other",38,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"573","No checking account",24,"existing credits paid back duly till now","car (used)",5433,"unknown / no savings account","Unemployed",2,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",26,"none","rent",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"574","Negative",15,"existing credits paid back duly till now","business",806,"less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",22,"none","own",1,"unskilled - resident",1,"none","Yes","good"
"575","0 - 200",9,"existing credits paid back duly till now","radio/television",1082,"less than 100","more than 7 years",4,"male (single)","none",4,"car or other",27,"none","own",2,"unskilled - resident",1,"none","Yes","good"
"576","No checking account",15,"critical account/ other credits existing (not at this bank)","furniture/equipment",2788,"less than 100","4 to 7 years",2,"female (divorced/separated/married)","co-Applicant",3,"car or other",24,"bank","own",2,"skilled employee / official",1,"none","Yes","good"
"577","0 - 200",12,"existing credits paid back duly till now","radio/television",2930,"less than 100","4 to 7 years",2,"female (divorced/separated/married)","none",1,"real estate",27,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"578","No checking account",24,"critical account/ other credits existing (not at this bank)","education",1927,"unknown / no savings account","1 to 4 years",3,"female (divorced/separated/married)","none",2,"car or other",33,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"579","0 - 200",36,"critical account/ other credits existing (not at this bank)","car (new)",2820,"less than 100","less than 1 year",4,"male (divorced/separated)","none",4,"car or other",27,"none","own",2,"skilled employee / official",1,"none","Yes","bad"
"580","No checking account",24,"existing credits paid back duly till now","retraining",937,"less than 100","less than 1 year",4,"male (married/widowed)","none",3,"car or other",27,"none","own",2,"unskilled - resident",1,"none","Yes","good"
"581","0 - 200",18,"critical account/ other credits existing (not at this bank)","car (new)",1056,"less than 100","more than 7 years",3,"male (single)","guarantor",3,"real estate",30,"bank","own",2,"skilled employee / official",1,"none","Yes","bad"
"582","0 - 200",12,"critical account/ other credits existing (not at this bank)","car (new)",3124,"less than 100","less than 1 year",1,"male (single)","none",3,"real estate",49,"bank","own",2,"unskilled - resident",2,"none","Yes","good"
"583","No checking account",9,"existing credits paid back duly till now","furniture/equipment",1388,"less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",2,"real estate",26,"none","rent",1,"skilled employee / official",1,"none","Yes","good"
"584","0 - 200",36,"existing credits paid back duly till now","repairs",2384,"less than 100","less than 1 year",4,"male (single)","none",1,"unknown / no property",33,"none","rent",1,"unskilled - resident",1,"none","Yes","bad"
"585","No checking account",12,"existing credits paid back duly till now","car (new)",2133,"unknown / no savings account","more than 7 years",4,"female (divorced/separated/married)","none",4,"unknown / no property",52,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"586","Negative",18,"existing credits paid back duly till now","furniture/equipment",2039,"less than 100","1 to 4 years",1,"female (divorced/separated/married)","none",4,"real estate",20,"bank","rent",1,"skilled employee / official",1,"none","Yes","bad"
"587","Negative",9,"critical account/ other credits existing (not at this bank)","car (new)",2799,"less than 100","1 to 4 years",2,"male (single)","none",2,"real estate",36,"none","rent",2,"skilled employee / official",2,"none","Yes","good"
"588","Negative",12,"existing credits paid back duly till now","furniture/equipment",1289,"less than 100","1 to 4 years",4,"male (single)","guarantor",1,"building society savings agreement/ life insurance",21,"none","own",1,"unskilled - resident",1,"none","Yes","good"
"589","Negative",18,"existing credits paid back duly till now","domestic appliances",1217,"less than 100","1 to 4 years",4,"male (married/widowed)","none",3,"real estate",47,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","bad"
"590","Negative",12,"critical account/ other credits existing (not at this bank)","furniture/equipment",2246,"less than 100","more than 7 years",3,"male (single)","none",3,"building society savings agreement/ life insurance",60,"none","own",2,"skilled employee / official",1,"none","Yes","bad"
"591","Negative",12,"critical account/ other credits existing (not at this bank)","radio/television",385,"less than 100","4 to 7 years",4,"female (divorced/separated/married)","none",3,"real estate",58,"none","own",4,"unskilled - resident",1,"yes, registered under the customers name","Yes","good"
"592","0 - 200",24,"delay in paying off in the past","car (new)",1965,"unknown / no savings account","1 to 4 years",4,"female (divorced/separated/married)","none",4,"car or other",42,"none","rent",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"593","No checking account",21,"existing credits paid back duly till now","business",1572,"more than 1000","more than 7 years",4,"female (divorced/separated/married)","none",4,"real estate",36,"bank","own",1,"unskilled - resident",1,"none","Yes","good"
"594","0 - 200",24,"existing credits paid back duly till now","car (new)",2718,"less than 100","1 to 4 years",3,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",20,"none","rent",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","bad"
"595","Negative",24,"all credits at this bank paid back duly","others",1358,"unknown / no savings account","more than 7 years",4,"male (single)","none",3,"car or other",40,"stores","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
"596","0 - 200",6,"all credits at this bank paid back duly","car (new)",931,"100 to 500","less than 1 year",1,"female (divorced/separated/married)","none",1,"building society savings agreement/ life insurance",32,"stores","own",1,"unskilled - resident",1,"none","Yes","bad"
"597","Negative",24,"existing credits paid back duly till now","car (new)",1442,"less than 100","4 to 7 years",4,"female (divorced/separated/married)","none",4,"car or other",23,"none","rent",2,"skilled employee / official",1,"none","Yes","bad"
"598","0 - 200",24,"no credits taken / all credits paid back duly","business",4241,"less than 100","1 to 4 years",1,"male (single)","none",4,"real estate",36,"none","own",3,"unskilled - resident",1,"yes, registered under the customers name","Yes","bad"
"599","No checking account",18,"critical account/ other credits existing (not at this bank)","car (new)",2775,"less than 100","4 to 7 years",2,"male (single)","none",2,"building society savings agreement/ life insurance",31,"bank","own",2,"skilled employee / official",1,"none","Yes","bad"
"600","No checking account",24,"delay in paying off in the past","business",3863,"less than 100","1 to 4 years",1,"male (single)","none",2,"unknown / no property",32,"none","for free",1,"skilled employee / official",1,"none","Yes","good"
"601","0 - 200",7,"existing credits paid back duly till now","radio/television",2329,"less than 100","less than 1 year",1,"female (divorced/separated/married)","guarantor",1,"real estate",45,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"602","0 - 200",9,"existing credits paid back duly till now","furniture/equipment",918,"less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",1,"building society savings agreement/ life insurance",30,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
"603","0 - 200",24,"all credits at this bank paid back duly","education",1837,"less than 100","4 to 7 years",4,"female (divorced/separated/married)","none",4,"unknown / no property",34,"bank","for free",1,"unskilled - resident",1,"none","Yes","bad"
"604","No checking account",36,"existing credits paid back duly till now","furniture/equipment",3349,"less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",2,"car or other",28,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
"605","Over 200",10,"existing credits paid back duly till now","furniture/equipment",1275,"less than 100","less than 1 year",4,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",23,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"606","Negative",24,"all credits at this bank paid back duly","furniture/equipment",2828,"500 to 1000","1 to 4 years",4,"male (single)","none",4,"real estate",22,"stores","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"607","No checking account",24,"critical account/ other credits existing (not at this bank)","business",4526,"less than 100","1 to 4 years",3,"male (single)","none",2,"real estate",74,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"608","0 - 200",36,"existing credits paid back duly till now","radio/television",2671,"100 to 500","1 to 4 years",4,"female (divorced/separated/married)","co-Applicant",4,"unknown / no property",50,"none","for free",1,"skilled employee / official",1,"none","Yes","bad"
"609","No checking account",18,"existing credits paid back duly till now","radio/television",2051,"less than 100","less than 1 year",4,"male (single)","none",1,"real estate",33,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"610","No checking account",15,"existing credits paid back duly till now","car (used)",1300,"unknown / no savings account","more than 7 years",4,"male (single)","none",4,"unknown / no property",45,"bank","for free",1,"skilled employee / official",2,"none","Yes","good"
"611","Negative",12,"existing credits paid back duly till now","domestic appliances",741,"100 to 500","Unemployed",4,"female (divorced/separated/married)","none",3,"building society savings agreement/ life insurance",22,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
"612","Over 200",10,"existing credits paid back duly till now","car (new)",1240,"100 to 500","more than 7 years",1,"female (divorced/separated/married)","none",4,"unknown / no property",48,"none","for free",1,"unskilled - resident",2,"none","Yes","bad"
"613","Negative",21,"existing credits paid back duly till now","radio/television",3357,"more than 1000","less than 1 year",4,"female (divorced/separated/married)","none",2,"car or other",29,"bank","own",1,"skilled employee / official",1,"none","Yes","good"
"614","Negative",24,"all credits at this bank paid back duly","car (used)",3632,"less than 100","1 to 4 years",1,"female (divorced/separated/married)","guarantor",4,"car or other",22,"bank","rent",1,"skilled employee / official",1,"none","No","good"
"615","No checking account",18,"delay in paying off in the past","furniture/equipment",1808,"less than 100","4 to 7 years",4,"female (divorced/separated/married)","none",1,"real estate",22,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
"616","0 - 200",48,"no credits taken / all credits paid back duly","business",12204,"unknown / no savings account","1 to 4 years",2,"male (single)","none",2,"car or other",48,"bank","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"617","0 - 200",60,"delay in paying off in the past","radio/television",9157,"unknown / no savings account","1 to 4 years",2,"male (single)","none",2,"unknown / no property",27,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"none","Yes","good"
"618","Negative",6,"critical account/ other credits existing (not at this bank)","car (new)",3676,"less than 100","1 to 4 years",1,"male (single)","none",3,"real estate",37,"none","rent",3,"skilled employee / official",2,"none","Yes","good"
"619","0 - 200",30,"existing credits paid back duly till now","furniture/equipment",3441,"100 to 500","1 to 4 years",2,"female (divorced/separated/married)","co-Applicant",4,"car or other",21,"none","rent",1,"skilled employee / official",1,"none","Yes","bad"
"620","No checking account",12,"existing credits paid back duly till now","car (new)",640,"less than 100","1 to 4 years",4,"male (divorced/separated)","none",2,"real estate",49,"none","own",1,"unskilled - resident",1,"none","Yes","good"
"621","0 - 200",21,"critical account/ other credits existing (not at this bank)","business",3652,"less than 100","4 to 7 years",2,"male (single)","none",3,"building society savings agreement/ life insurance",27,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"622","No checking account",18,"critical account/ other credits existing (not at this bank)","car (new)",1530,"less than 100","1 to 4 years",3,"male (single)","none",2,"building society savings agreement/ life insurance",32,"bank","own",2,"skilled employee / official",1,"none","Yes","bad"
"623","No checking account",48,"existing credits paid back duly till now","business",3914,"unknown / no savings account","1 to 4 years",4,"male (divorced/separated)","none",2,"real estate",38,"bank","own",1,"skilled employee / official",1,"none","Yes","bad"
"624","Negative",12,"existing credits paid back duly till now","furniture/equipment",1858,"less than 100","less than 1 year",4,"female (divorced/separated/married)","none",1,"car or other",22,"none","rent",1,"skilled employee / official",1,"none","Yes","good"
"625","Negative",18,"existing credits paid back duly till now","radio/television",2600,"less than 100","1 to 4 years",4,"male (single)","none",4,"unknown / no property",65,"none","for free",2,"skilled employee / official",1,"none","Yes","bad"
"626","No checking account",15,"existing credits paid back duly till now","radio/television",1979,"unknown / no savings account","more than 7 years",4,"male (single)","none",2,"car or other",35,"none","own",1,"skilled employee / official",1,"none","Yes","good"
